"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2013","9.44711968595883","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2014","8.17428112358236","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2015","7.00082983541651","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2016","8.52958213673693","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2017","8.74538472079758","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2018","11.5813170575616","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2019","10.2335200734128","percent of expense","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2003","3.05760962946427","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2004","3.64395423975417","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2005","2.80606806409765","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2012","10.5504277139389","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2013","14.0348673040125","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2014","16.4944873473396","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2015","17.0397019631168","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2016","15.3475412654351","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2017","16.9198889367861","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2018","6.38116100422309","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.TOTL.GD.ZS","Government expenses","2019","13.7755198098588","percent of GDP","international_observation","World Bank WDI API"
"MMR","GGXCNL_NGDP","Fiscal balance","1998","-4.9","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","1999","-4.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2000","-6.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2001","-6.3","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2002","-4.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2003","-4.2","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2004","-4.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2005","-3.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2006","-3.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2007","-3.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2008","-2.7","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
